File name;Agent name;Amount of rounds;Average distance to Nash;Average social welfare;% of agreements;Average amount of rounds needed;Average distance to Pareto;Average difference between min and max utility
ConvertedLogCollaborative Party.csv;group1;6383.0;0.20885067796610174;2.2635884745762707;1.0;108.1864406779661;0.03967745762711864;0.11239084745762712
ConvertedLogCollaborative Party.csv;group12;34718.0;0.3169467558528434;2.1966616387959883;1.0;116.11371237458194;0.04037986622073581;0.23083518394648841
ConvertedLogCollaborative Party.csv;group2;6383.0;0.20885067796610174;2.2635884745762707;1.0;108.1864406779661;0.03967745762711864;0.11239084745762712
ConvertedLogCollaborative Party.csv;group10;7466.0;0.4665748333333333;2.1568756666666666;1.0;124.43333333333334;0.07897616666666668;0.18282450000000006
ConvertedLogCollaborative Party.csv;group11;7466.0;0.4665748333333333;2.1568756666666666;1.0;124.43333333333334;0.07897616666666668;0.18282450000000006
ConvertedLogCollaborative Party.csv;group3;6205.0;0.2947358333333333;2.197278333333333;1.0;103.41666666666667;0.02635216666666667;0.29007050000000006
ConvertedLogCollaborative Party.csv;group4;6205.0;0.2947358333333333;2.197278333333333;1.0;103.41666666666667;0.02635216666666667;0.29007050000000006
ConvertedLogCollaborative Party.csv;group5;6827.0;0.26301183333333333;2.2017258333333323;1.0;113.78333333333333;0.052644166666666665;0.17700799999999997
ConvertedLogCollaborative Party.csv;group6;6827.0;0.26301183333333333;2.2017258333333323;1.0;113.78333333333333;0.052644166666666665;0.17700799999999997
ConvertedLogCollaborative Party.csv;group7;7837.0;0.3497589999999998;2.164955333333334;1.0;130.61666666666667;0.0042376666666666665;0.389908
ConvertedLogCollaborative Party.csv;group8;7837.0;0.3497589999999998;2.164955333333334;1.0;130.61666666666667;0.0042376666666666665;0.389908
ConvertedLogCollaborative Tram.csv;group1;6130.0;0.1635493220338983;2.4431330508474565;1.0;103.89830508474576;0.05348389830508474;0.16841915254237286
ConvertedLogCollaborative Tram.csv;group12;25198.0;0.16334591973244156;2.494259632107024;1.0;84.27424749163879;0.022532040133779282;0.18264127090301024
ConvertedLogCollaborative Tram.csv;group2;6130.0;0.1635493220338983;2.4431330508474565;1.0;103.89830508474576;0.05348389830508474;0.16841915254237286
ConvertedLogCollaborative Tram.csv;group10;4588.0;0.21251299999999995;2.452956166666666;1.0;76.46666666666667;0.04815566666666667;0.20336033333333334
ConvertedLogCollaborative Tram.csv;group11;4588.0;0.21251299999999995;2.452956166666666;1.0;76.46666666666667;0.04815566666666667;0.20336033333333334
ConvertedLogCollaborative Tram.csv;group3;4619.0;0.1291691666666667;2.5581290000000005;1.0;76.98333333333333;0.0010023333333333334;0.16621849999999994
ConvertedLogCollaborative Tram.csv;group4;4619.0;0.1291691666666667;2.5581290000000005;1.0;76.98333333333333;0.0010023333333333334;0.16621849999999994
ConvertedLogCollaborative Tram.csv;group5;5666.0;0.12115300000000004;2.5251270000000003;1.0;94.43333333333334;0.009316666666666666;0.14661699999999994
ConvertedLogCollaborative Tram.csv;group6;5666.0;0.12115300000000004;2.5251270000000003;1.0;94.43333333333334;0.009316666666666666;0.14661699999999994
ConvertedLogCollaborative Tram.csv;group7;4195.0;0.1903485;2.491100833333333;1.0;69.91666666666667;0.0012175;0.22835433333333344
ConvertedLogCollaborative Tram.csv;group8;4195.0;0.1903485;2.491100833333333;1.0;69.91666666666667;0.0012175;0.22835433333333344
ConvertedLogCompetitive Party.csv;group1;6052.0;0.10062627118644066;2.3609391525423726;1.0;102.57627118644068;0.05566542372881355;0.07139101694915251
ConvertedLogCompetitive Party.csv;group12;33822.0;0.2850933444816056;2.3524282943143775;1.0;113.11705685618729;0.03191846153846152;0.22283869565217382
ConvertedLogCompetitive Party.csv;group2;6052.0;0.10062627118644066;2.3609391525423726;1.0;102.57627118644068;0.05566542372881355;0.07139101694915251
ConvertedLogCompetitive Party.csv;group10;6163.0;0.587277;2.3439446666666672;1.0;102.71666666666667;0.039770333333333324;0.22984266666666672
ConvertedLogCompetitive Party.csv;group11;6163.0;0.587277;2.3439446666666672;1.0;102.71666666666667;0.039770333333333324;0.22984266666666672
ConvertedLogCompetitive Party.csv;group3;5676.0;0.2180123333333333;2.3595591666666667;1.0;94.6;0.039721166666666675;0.23387766666666662
ConvertedLogCompetitive Party.csv;group4;5676.0;0.2180123333333333;2.3595591666666667;1.0;94.6;0.039721166666666675;0.23387766666666662
ConvertedLogCompetitive Party.csv;group5;6749.0;0.14007366666666662;2.416743833333334;1.0;112.48333333333333;0.017250166666666664;0.1551046666666667
ConvertedLogCompetitive Party.csv;group6;6749.0;0.14007366666666662;2.416743833333334;1.0;112.48333333333333;0.017250166666666664;0.1551046666666667
ConvertedLogCompetitive Party.csv;group7;9182.0;0.37640299999999993;2.2810964999999994;1.0;153.03333333333333;0.007581000000000001;0.4214533333333332
ConvertedLogCompetitive Party.csv;group8;9182.0;0.37640299999999993;2.2810964999999994;1.0;153.03333333333333;0.007581000000000001;0.4214533333333332
ConvertedLogCompetitive Tram.csv;group1;8350.0;0.17181067796610167;2.1339079661016953;1.0;141.52542372881356;0.015082542372881357;0.1788961016949153
ConvertedLogCompetitive Tram.csv;group12;40973.0;0.26686889632107025;2.1217762541805993;1.0;137.0334448160535;0.01185133779264214;0.2651463210702343
ConvertedLogCompetitive Tram.csv;group2;8350.0;0.17181067796610167;2.1339079661016953;1.0;141.52542372881356;0.015082542372881357;0.1788961016949153
ConvertedLogCompetitive Tram.csv;group10;7294.0;0.40388383333333333;2.113638166666667;1.0;121.56666666666666;0.020950666666666666;0.23861016666666662
