File name;Agent name;Amount of rounds;Average distance to Nash;Average social welfare;% of agreements;Average amount of rounds needed;Average distance to Pareto;Average difference between min and max utility
ConvertedLogCollaborative Party.csv;group1;17903.0;0.2824746851851851;2.188281185185187;1.0;33.153703703703705;0.06518003703703704;0.16210018518518535
ConvertedLogCollaborative Party.csv;group11;14595.0;0.534011375;2.161875854166671;1.0;30.40625;0.06084110416666671;0.21894268750000026
ConvertedLogCollaborative Party.csv;group12;85619.0;0.3229815227272733;2.164400034090903;1.0;32.43143939393939;0.06214662121212126;0.2135972803030311
ConvertedLogCollaborative Party.csv;group4;19192.0;0.3209969814814822;2.1566379629629653;1.0;35.54074074074074;0.05826672222222226;0.24088874074074076
ConvertedLogCollaborative Party.csv;group7;22127.0;0.358980703703703;2.120828722222224;1.0;40.97592592592593;0.048450240740740814;0.3346206481481483
ConvertedLogCollaborative Party.csv;group2;17195.0;0.302143092592593;2.160142314814814;1.0;31.84259259259259;0.07136914814814808;0.19277214814814816
ConvertedLogCollaborative Party.csv;group5;16737.0;0.2935138518518514;2.191468222222223;1.0;30.994444444444444;0.05337896296296302;0.20416055555555532
ConvertedLogCollaborative Party.csv;group8;13765.0;0.2595780000000002;2.186074020833333;1.0;28.677083333333332;0.05710056250000003;0.19158187500000012
ConvertedLogCollaborative Party.csv;group3;14653.0;0.2927234444444451;2.207488833333332;1.0;27.135185185185186;0.04642542592592599;0.20880394444444444
ConvertedLogCollaborative Party.csv;group6;16845.0;0.30012938888888907;2.137407851851859;1.0;31.194444444444443;0.07878605555555551;0.1961192407407409
ConvertedLogCollaborative Party.csv;group10;18226.0;0.30166662962962987;2.135923129629628;1.0;33.75185185185185;0.0809622222222223;0.1841305555555556
ConvertedLogCollaborative Tram.csv;group1;13654.0;0.16777405555555544;2.460180166666665;1.0;25.285185185185185;0.045550814814814815;0.14965407407407388
ConvertedLogCollaborative Tram.csv;group11;11033.0;0.28971466666666695;2.481891875000002;1.0;22.985416666666666;0.03243204166666666;0.16703297916666673
ConvertedLogCollaborative Tram.csv;group12;69629.0;0.19302129844961385;2.4611139457364426;1.0;26.98798449612403;0.041058554263565854;0.17879381395348934
ConvertedLogCollaborative Tram.csv;group4;15992.0;0.19144614814814784;2.470885148148144;1.0;29.614814814814814;0.03640485185185185;0.19762849999999968
ConvertedLogCollaborative Tram.csv;group7;18454.0;0.22015805555555554;2.463003444444449;1.0;34.17407407407408;0.0278049814814815;0.24427918518518468
ConvertedLogCollaborative Tram.csv;group2;16317.0;0.19556959259259218;2.4564209629629614;1.0;30.216666666666665;0.04382011111111109;0.19578175925925909
ConvertedLogCollaborative Tram.csv;group5;13980.0;0.17243892592592594;2.4711076111111105;1.0;25.88888888888889;0.037582222222222225;0.16553492592592567
ConvertedLogCollaborative Tram.csv;group8;10313.0;0.1676006458333333;2.4437140833333286;1.0;21.485416666666666;0.04996354166666666;0.1658000416666664
ConvertedLogCollaborative Tram.csv;group3;12683.0;0.1654098518518518;2.481944314814813;1.0;23.487037037037037;0.034906148148148144;0.15868040740740713
ConvertedLogCollaborative Tram.csv;group6;15553.0;0.15446599999999963;2.5012896181818114;1.0;28.278181818181817;0.022841272727272762;0.16388839999999938
ConvertedLogCollaborative Tram.csv;group10;16787.0;0.19644990909090912;2.386697218181817;1.0;30.521818181818183;0.07859314545454531;0.1640062363636362
ConvertedLogCompetitive Party.csv;group1;16443.0;0.2025234629629634;2.290018314814816;1.0;30.45;0.08238525925925949;0.1165243333333332
ConvertedLogCompetitive Party.csv;group11;12783.0;0.5684870624999996;2.3284142083333332;1.0;26.63125;0.05134497916666663;0.24770360416666695
ConvertedLogCompetitive Party.csv;group12;82318.0;0.285852954545455;2.275066484848474;1.0;31.181060606060605;0.07500668181818222;0.19592521212121408
ConvertedLogCompetitive Party.csv;group4;18697.0;0.282476944444445;2.251675907407412;1.0;34.62407407407407;0.08819159259259267;0.2214549444444445
ConvertedLogCompetitive Party.csv;group7;23135.0;0.36278694444444515;2.2322486666666626;1.0;42.842592592592595;0.05817674074074069;0.34649288888888946
ConvertedLogCompetitive Party.csv;group2;16210.0;0.2478614259259264;2.2777271666666685;1.0;30.01851851851852;0.07688200000000014;0.17043724074074088
ConvertedLogCompetitive Party.csv;group5;16640.0;0.22295711111111133;2.3488819074074088;1.0;30.814814814814813;0.044336555555555456;0.18506061111111122
ConvertedLogCompetitive Party.csv;group8;13021.0;0.1931514166666669;2.277627812499998;1.0;27.127083333333335;0.07749870833333333;0.14939149999999993
ConvertedLogCompetitive Party.csv;group3;13265.0;0.24479298148148207;2.325445925925924;1.0;24.564814814814813;0.05233174074074065;0.18975796296296338
ConvertedLogCompetitive Party.csv;group6;17106.0;0.2953138703703712;2.2007742407407416;1.0;31.677777777777777;0.10914616666666678;0.18270088888888913
ConvertedLogCompetitive Party.csv;group10;17336.0;0.25928194444444463;2.224062814814814;1.0;32.1037037037037;0.10742088888888902;0.15031088888888897
ConvertedLogCompetitive Tram.csv;group1;19687.0;0.21238570370370383;2.135347074074073;1.0;36.45740740740741;0.04662399999999999;0.16786716666666676
ConvertedLogCompetitive Tram.csv;group11;15026.0;0.4816203124999994;2.2259393541666648;1.0;31.304166666666667;0.035328645833333366;0.2562355416666668
ConvertedLogCompetitive Tram.csv;group12;94706.0;0.26955687878787965;2.151700276515146;1.0;35.87348484848485;0.03954925757575768;0.23309804924242436
ConvertedLogCompetitive Tram.csv;group4;20676.0;0.2647712777777781;2.144862537037036;1.0;38.28888888888889;0.06420605555555552;0.24381194444444448
