sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 31;0.473;94;Yes;No;3;0.85609;0.89335;0.02961;0.04224;2.61848;class negotiator.group1.Group1@1448359561;class negotiator.group2.Group2@852002982;class negotiator.group12.Group12@193160278;0.86905;0.89335;0.85609
1;0.347;77;Yes;No;3;0.86360;0.89359;0.02816;0.02816;2.63814;class negotiator.group1.Group1@1565204691;class negotiator.group2.Group2@1868049534;class negotiator.group12.Group12@97598798;0.88095;0.89359;0.86360
2;0.345;64;Yes;No;3;0.74631;1.00000;0.00000;0.19433;2.61536;class negotiator.group1.Group1@1241825537;class negotiator.group12.Group12@2115718813;class negotiator.group2.Group2@851863065;0.86905;0.74631;1.00000
3;0.101;53;Yes;No;3;0.77381;0.95940;0.02961;0.16518;2.56694;class negotiator.group12.Group12@307012541;class negotiator.group1.Group1@1704056493;class negotiator.group2.Group2@1235561459;0.77381;0.83372;0.95940
4;0.306;72;Yes;No;3;0.72619;0.88114;0.06643;0.18100;2.45926;class negotiator.group12.Group12@2062058570;class negotiator.group2.Group2@927290704;class negotiator.group1.Group1@686035849;0.72619;0.88114;0.85193
5;0.179;41;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group2.Group2@1548310291;class negotiator.group12.Group12@1391710138;class negotiator.group1.Group1@80406242;0.96428;0.80594;0.89668
6;0.273;70;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group2.Group2@904164343;class negotiator.group1.Group1@695826629;class negotiator.group12.Group12@1709695688;0.95238;0.80501;0.88916
1;0.386;85;Yes;No;3;0.76115;0.85034;0.10210;0.19000;2.37339;class negotiator.group1.Group1@1097918184;class negotiator.group2.Group2@1531423464;class negotiator.group12.Group12@1042650153;0.76190;0.85034;0.76115
2;0.282;64;Yes;No;3;0.74631;1.00000;0.00000;0.19433;2.61536;class negotiator.group1.Group1@631060060;class negotiator.group12.Group12@1952179534;class negotiator.group2.Group2@1026269072;0.86905;0.74631;1.00000
3;0.099;71;Yes;No;3;0.73809;0.92251;0.02816;0.17795;2.51014;class negotiator.group12.Group12@1654893467;class negotiator.group1.Group1@1733787572;class negotiator.group2.Group2@562116461;0.73809;0.84953;0.92251
4;0.279;74;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group12.Group12@2059016704;class negotiator.group2.Group2@1342256370;class negotiator.group1.Group1@2134582502;0.90476;0.89382;0.87864
5;0.178;41;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group2.Group2@377076993;class negotiator.group12.Group12@308779054;class negotiator.group1.Group1@1329069426;0.96428;0.80594;0.89668
6;0.307;84;Yes;No;3;0.80752;0.83661;0.08110;0.11590;2.47747;class negotiator.group2.Group2@1255735830;class negotiator.group1.Group1@1830295741;class negotiator.group12.Group12@1224759359;0.83333;0.83661;0.80752
1;0.342;73;Yes;No;3;0.81920;0.90916;0.02816;0.09418;2.56168;class negotiator.group1.Group1@1245173695;class negotiator.group2.Group2@406151850;class negotiator.group12.Group12@1491112784;0.83333;0.90916;0.81920
2;0.285;64;Yes;No;3;0.74631;1.00000;0.00000;0.19433;2.61536;class negotiator.group1.Group1@1864498194;class negotiator.group12.Group12@539769534;class negotiator.group2.Group2@935633010;0.86905;0.74631;1.00000
3;0.102;72;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@1874870175;class negotiator.group1.Group1@915478794;class negotiator.group2.Group2@1879243650;0.96428;0.80594;0.89668
4;0.305;74;Yes;No;3;0.72619;0.88114;0.06643;0.18100;2.45926;class negotiator.group12.Group12@1406029121;class negotiator.group2.Group2@221385059;class negotiator.group1.Group1@1377010009;0.72619;0.88114;0.85193
5;0.177;41;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group2.Group2@1108596780;class negotiator.group12.Group12@617960088;class negotiator.group1.Group1@824282124;0.96428;0.80594;0.89668
6;0.272;81;Yes;No;3;0.80547;0.92857;0.02961;0.09161;2.60817;class negotiator.group2.Group2@111057350;class negotiator.group1.Group1@377592207;class negotiator.group12.Group12@378046164;0.92857;0.80547;0.87413
1;0.285;63;Yes;No;3;0.81168;0.90892;0.01998;0.10796;2.54203;class negotiator.group1.Group1@1189311601;class negotiator.group2.Group2@2129775378;class negotiator.group12.Group12@877349850;0.82143;0.90892;0.81168
2;0.282;64;Yes;No;3;0.74631;1.00000;0.00000;0.19433;2.61536;class negotiator.group1.Group1@956743572;class negotiator.group12.Group12@1779149515;class negotiator.group2.Group2@603597777;0.86905;0.74631;1.00000
3;0.084;51;Yes;No;3;0.78571;0.96692;0.02816;0.15984;2.58659;class negotiator.group12.Group12@1646866513;class negotiator.group1.Group1@2116241455;class negotiator.group2.Group2@1045972571;0.78571;0.83396;0.96692
4;0.264;62;Yes;No;3;0.79762;0.92403;0.01411;0.13374;2.52615;class negotiator.group12.Group12@359866455;class negotiator.group2.Group2@961559233;class negotiator.group1.Group1@1111585356;0.79762;0.92403;0.80451
5;0.178;41;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group2.Group2@372748058;class negotiator.group12.Group12@566812507;class negotiator.group1.Group1@180347057;0.96428;0.80594;0.89668
6;0.230;64;Yes;No;3;0.82058;0.90476;0.01411;0.08070;2.57010;class negotiator.group2.Group2@1041649459;class negotiator.group1.Group1@715767069;class negotiator.group12.Group12@1841221836;0.90476;0.82058;0.84476
1;0.417;94;Yes;No;3;0.85609;0.89335;0.02961;0.04224;2.61848;class negotiator.group1.Group1@61594343;class negotiator.group2.Group2@129004947;class negotiator.group12.Group12@1375144406;0.86905;0.89335;0.85609
2;0.279;64;Yes;No;3;0.74631;1.00000;0.00000;0.19433;2.61536;class negotiator.group1.Group1@1760437284;class negotiator.group12.Group12@1787227469;class negotiator.group2.Group2@1078300894;0.86905;0.74631;1.00000
3;0.110;90;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@614767243;class negotiator.group1.Group1@849227384;class negotiator.group2.Group2@788324926;0.96428;0.80594;0.89668
4;0.272;68;Yes;No;3;0.81920;0.90916;0.02816;0.09418;2.56168;class negotiator.group12.Group12@662377151;class negotiator.group2.Group2@17550809;class negotiator.group1.Group1@771187224;0.83333;0.90916;0.81920
5;0.182;41;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group2.Group2@54285458;class negotiator.group12.Group12@1842626278;class negotiator.group1.Group1@158180959;0.96428;0.80594;0.89668
6;0.212;58;Yes;No;3;0.80571;0.94048;0.02816;0.09512;2.62783;class negotiator.group2.Group2@1154567966;class negotiator.group1.Group1@161570270;class negotiator.group12.Group12@1092198082;0.94048;0.80571;0.88165
1;0.264;59;Yes;No;3;0.80952;0.92496;0.00000;0.12032;2.54651;class negotiator.group1.Group1@1833972222;class negotiator.group2.Group2@738349763;class negotiator.group12.Group12@1283954375;0.80952;0.92496;0.81203
2;0.292;64;Yes;No;3;0.74631;1.00000;0.00000;0.19433;2.61536;class negotiator.group1.Group1@1736853420;class negotiator.group12.Group12@550216269;class negotiator.group2.Group2@420249101;0.86905;0.74631;1.00000
3;0.101;72;Yes;No;3;0.77381;0.95940;0.02961;0.16518;2.56694;class negotiator.group12.Group12@1319330123;class negotiator.group1.Group1@1212721986;class negotiator.group2.Group2@451125025;0.77381;0.83372;0.95940
4;0.316;81;Yes;No;3;0.76190;0.86429;0.07713;0.16068;2.43747;class negotiator.group12.Group12@2071313636;class negotiator.group2.Group2@1858362382;class negotiator.group1.Group1@494392306;0.76190;0.86429;0.81127
5;0.178;41;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group2.Group2@792074236;class negotiator.group12.Group12@140556699;class negotiator.group1.Group1@104428393;0.96428;0.80594;0.89668
6;0.163;44;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group2.Group2@2063366811;class negotiator.group1.Group1@1440060721;class negotiator.group12.Group12@959836157;0.96428;0.80594;0.89668
1;8.652;177;Yes;No;3;0.80952;0.98195;0.00000;0.29647;2.62567;class negotiator.group10.Group10@799951772;class negotiator.group11.Group11@1541801784;class negotiator.group12.Group12@1524898986;0.80952;0.83419;0.98195
2;0.297;20;Yes;No;3;0.75000;0.86637;0.09371;0.29235;2.37787;class negotiator.group10.Group10@298435004;class negotiator.group12.Group12@1422796483;class negotiator.group11.Group11@710080436;0.75000;0.86637;0.76150
